Originador;Doc Originador;Cedente;Doc Cedente;CCB;Id;Cliente;CPF/CNPJ;Endereço;CEP;Cidade;UF;Valor do Empréstimo;Taxa de Juros (a.m.);Parcela R$;Principal R$;Juros R$;IOF R$;Comissão R$;Total Parcelas;Parcela #;Multa;Mora;Data de Emissão;Data de Vencimento;Data de Compra CCB;Preço de Aquisição
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12368;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;70,28;10,99;5,49;3,51;8;3;0.0;0.0;11/05/2022;14/08/2022;26/05/2022;73.79
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12369;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;71,99;9,28;5,49;3,6;8;4;0.0;0.0;11/05/2022;14/09/2022;26/05/2022;75.59
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12370;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;73,98;7,29;5,49;3,7;8;5;0.0;0.0;11/05/2022;14/10/2022;26/05/2022;77.68
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12371;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;75,54;5,73;5,49;3,78;8;6;0.0;0.0;11/05/2022;14/11/2022;26/05/2022;79.32
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12372;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;77,51;3,76;5,49;3,88;8;7;0.0;0.0;11/05/2022;14/12/2022;26/05/2022;81.39
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12373;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;84,02;82,02;2;5,49;4,1;8;8;0.0;0.0;11/05/2022;14/01/2023;26/05/2022;86.12
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;410677;12374;Pessoa exemplo 3;12.345.678/0001-10;R CANDIDO DOS SANTOS 27 ;1305100;GOVERNADOR VALADARES;MG;3226,28;0,065;A666,45;335,51;330,94;26,28;16,78;6;1;0.0;0.0;11/05/2022;28/06/2022;26/05/2022;352.29
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;410677;12375;Pessoa exemplo 3;12.345.678/0001-10;R CANDIDO DOS SANTOS 27 ;1305100;GOVERNADOR VALADARES;MG;3226,28;0,065;666,45;481,12;185,33;26,28;24,06;6;2;0.0;0.0;11/05/2022;28/07/2022;26/05/2022;505.18
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;410677;12376;Pessoa exemplo 3;12.345.678/0001-10;R CANDIDO DOS SANTOS 27 ;1305100;GOVERNADOR VALADARES;MG;3226,28;0,065;666,45;506,82;159,63;26,28;25,34;6;3;0.0;0.0;11/05/2022;28/08/2022;26/05/2022;532.16
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;410677;12377;Pessoa exemplo 3;12.345.678/0001-10;R CANDIDO DOS SANTOS 27 ;1305100;GOVERNADOR VALADARES;MG;3226,28;0,065;666,45;540,39;126,06;26,28;27,02;6;4;0.0;0.0;11/05/2022;28/09/2022;26/05/2022;567.41
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;410677;12378;Pessoa exemplo 3;12.345.678/0001-10;R CANDIDO DOS SANTOS 27 ;1305100;GOVERNADOR VALADARES;MG;3226,28;0,065;666,45;579,1;87,35;26,28;28,96;6;5;0.0;0.0;11/05/2022;28/10/2022;26/05/2022;608.06
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;410677;12379;Pessoa exemplo 3;12.345.678/0001-10;R CANDIDO DOS SANTOS 27 ;1305100;GOVERNADOR VALADARES;MG;3226,28;0,065;835,23;783,34;51,89;26,28;39,17;6;6;0.0;0.0;11/05/2022;28/11/2022;26/05/2022;822.51
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12380;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1061,04;715,35;160,73;53,05;10;1;0.0;0.0;11/05/2022;28/06/2022;26/05/2022;1114.09
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12381;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1360,58;415,81;160,73;68,03;10;2;0.0;0.0;11/05/2022;28/07/2022;26/05/2022;1428.61
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12382;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1388,19;388,2;160,73;69,41;10;3;0.0;0.0;11/05/2022;28/08/2022;26/05/2022;1457.60
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12383;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1430,49;345,9;160,73;71,52;10;4;0.0;0.0;11/05/2022;28/09/2022;26/05/2022;1502.01
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12384;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1483,83;292,56;160,73;74,19;10;5;0.0;0.0;11/05/2022;28/10/2022;26/05/2022;1558.02
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12385;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1519,3;257,09;160,73;75,96;10;6;0.0;0.0;11/05/2022;28/11/2022;26/05/2022;1595.26
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12386;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1572,4;203,99;160,73;78,62;10;7;0.0;0.0;11/05/2022;28/12/2022;26/05/2022;1651.02
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12387;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1613,51;162,88;160,73;80,68;10;8;0.0;0.0;11/05/2022;28/01/2023;26/05/2022;1694.19
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12388;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;1776,39;1662,68;113,71;160,73;83,13;10;9;0.0;0.0;11/05/2022;28/02/2023;26/05/2022;1745.81
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;422261;12389;Pessoa exemplo 4;12.345.678/0001-10;R 3 ARVOREDO CJ 278 ;35057400;SALVADOR;BA;15160,73;0,0299;2125,65;2068,71;56,94;160,73;103,44;10;10;0.0;0.0;11/05/2022;28/03/2023;26/05/2022;2172.15
